0:55:18,Button Pressed,6U7U16U,
0:56:10,Passenger Arrival,3,
0:57:01,Passenger Arrival,2,
0:57:08,Passenger Arrival,2,
0:57:10,Lift Departure,L3,12
0:57:17,Passenger Arrival,9,
0:57:30,Lift Stopped,L3,11
0:58:05,Lift Stopped,L3,5
0:58:31,Enter Lift,L3,9
0:58:35,Passenger Arrival,9,
0:58:35,Button Pressed,2I7I3D,
0:58:35,Lift Departure,L1,3
0:58:54,Passenger Arrival,9,
0:58:55,Enter Lift,L1,5
0:59:00,Passenger Arrival,11,
0:59:00,Button Pressed,15I21D2I,
0:59:00,Lift Departure,L2,21
0:59:55,Lift Stopped,L2,16
1:00:14,Lift Stopped,L2,9
1:00:35,Lift Stopped,L2,7
1:00:57,Lift Stopped,L2,5
1:01:11,Lift Stopped,L2,4
1:01:19,Passenger Arrival,1,
1:01:32,Passenger Arrival,1,
1:01:37,Lift Stopped,L2,3
1:01:58,Lift Stopped,L2,2
1:02:05,Passenger Arrival,1,
1:02:20,Enter Lift,L2,1
1:02:30,Passenger Arrival,2,
1:02:30,Button Pressed,20D2U13I,
1:02:30,Lift Departure,L3,20
1:02:33,Passenger Arrival,4,
1:02:38,Lift Stopped,L3,19
1:02:52,Lift Stopped,L3,18
1:03:20,Lift Stopped,L3,4
1:03:55,Passenger Arrival,2,
1:03:55,Enter Lift,L3,0
1:04:55,Passenger Arrival,2,
1:04:55,Button Pressed,5U11U21D,
1:04:55,Lift Departure,L1,21
1:05:35,Lift Stopped,L1,7
1:05:55,Passenger Arrival,2,
1:06:02,Lift Stopped,L1,4
1:06:15,Lift Stopped,L1,3
1:06:21,Passenger Arrival,2,
1:06:37,Lift Stopped,L1,2
1:06:39,Passenger Arrival,4,
1:06:55,Passenger Arrival,1,
1:06:58,Enter Lift,L1,0
1:07:35,Passenger Arrival,4,
1:07:35,Button Pressed,20I21D17I,
1:07:35,Lift Departure,L2,21
1:07:47,Lift Stopped,L2,20
1:07:55,Passenger Arrival,2,
1:08:34,Lift Stopped,L2,5
1:08:48,Passenger Arrival,2,
1:09:02,Lift Stopped,L2,3
1:09:16,Passenger Arrival,3,
1:09:25,Passenger Arrival,1,
1:09:50,Enter Lift,L2,0
1:10:10,Passenger Arrival,3,
1:10:10,Button Pressed,18I7I18D,
1:10:10,Lift Departure,L1,18
1:10:41,Lift Stopped,L1,11
1:10:54,Passenger Arrival,1,
1:11:15,Enter Lift,L1,0
1:11:35,Passenger Arrival,1,
1:11:35,Button Pressed,3D16I3I,
1:11:35,Lift Departure,L3,3
1:11:54,Enter Lift,L3,0
1:13:32,Passenger Arrival,3,
1:13:32,Button Pressed,16D22I12I,
1:13:32,Lift Departure,L3,16
1:13:45,Lift Stopped,L3,14
1:14:00,Passenger Arrival,1,
1:14:09,Lift Stopped,L3,12
1:14:15,Passenger Arrival,1,
1:14:28,Passenger Arrival,2,
1:14:32,Lift Stopped,L3,10
1:14:55,Lift Stopped,L3,6
1:15:13,Passenger Arrival,1,
1:15:25,Lift Stopped,L3,4
1:15:37,Passenger Arrival,1,
1:15:40,Passenger Arrival,1,
1:15:43,Enter Lift,L3,0
1:16:05,Passenger Arrival,2,
1:16:05,Button Pressed,3IG2I,
1:16:05,Enter Lift,L2,0
1:16:30,Passenger Arrival,2,
1:16:30,Button Pressed,16U23I6U,
1:16:30,Lift Departure,L2,23
1:17:25,Passenger Arrival,1,
1:17:35,Lift Stopped,L2,21
1:18:16,Passenger Arrival,1,
1:18:22,Lift Stopped,L2,16
1:18:32,Passenger Arrival,1,
1:18:40,Lift Stopped,L2,12
1:18:59,Passenger Arrival,1,
1:19:08,Lift Stopped,L2,4
1:19:39,Passenger Arrival,1,
1:19:45,Enter Lift,L2,0
1:19:55,Passenger Arrival,2,
1:19:55,Button Pressed,10U4U22I,
1:19:55,Lift Departure,L3,22
1:20:10,Lift Stopped,L3,18
1:20:20,Passenger Arrival,1,
1:20:31,Passenger Arrival,2,
1:20:36,Lift Stopped,L3,14
1:20:40,Lift Stopped,L3,1
1:20:45,Passenger Arrival,3,
1:20:59,Enter Lift,L3,0
1:21:55,Passenger Arrival,1,
1:22:55,Button Pressed,10U18U16U,
1:22:35,Passenger Arrival,1,
1:22:40,Passenger Arrival,3,
1:23:03,Passenger Arrival,3,
1:23:09,Passenger Arrival,3,
1:23:10,Lift Departure,L3,19
1:23:22,Lift Stopped,L3,17
1:23:28,Passenger Arrival,2,
1:23:35,Passenger Arrival,1,
1:23:46,Lift Stopped,L3,15
1:24:09,Lift Stopped,L3,10
1:24:09,Passenger Arrival,1,
1:24:25,Passenger Arrival,2,
1:24:55,Enter Lift,L3,4
1:25:20,Passenger Arrival,3,
1:25:20,Button Pressed,19I7D3I,
1:25:20,Lift Departure,L2,7
1:25:28,Lift Stopped,L2,5
1:26:00,Enter Lift,L2,0
1:26:50,Passenger Arrival,6,
1:26:50,Button Pressed,20U8U17U,
1:27:11,Passenger Arrival,1,
1:27:39,Passenger Arrival,1,
1:28:13,Lift Departure,L3,23
1:28:25,Passenger Arrival,3,
1:28:38,Lift Stopped,L3,21
1:28:57,Passenger Arrival,1,
1:29:00,Lift Stopped,L3,17
1:29:11,Passenger Arrival,3,
1:29:35,Lift Stopped,L3,14
1:29:51,Passenger Arrival,2,
1:30:00,Lift Stopped,L3,4
1:30:21,Lift Stopped,L3,2
1:30:45,Passenger Arrival,5,
1:30:46,Lift Stopped,L3,1
1:30:50,Enter Lift,L3,9
1:31:20,Passenger Arrival,4,
1:31:20,Button Pressed,7U23I4U,
1:31:20,Lift Departure,L2,23
1:31:35,Passenger Arrival,3,
1:33:15,Lift Stopped,L2,21
1:34:12,Lift Stopped,L2,20
1:34:25,Passenger Arrival,1,
1:34:39,Lift Stopped,L2,18
1:34:40,Passenger Arrival,2,
1:34:58,Lift Stopped,L2,17
1:35:18,Lift Stopped,L2,14
1:35:18,Passenger Arrival,1,
1:35:35,Passenger Arrival,1,
1:35:38,Lift Stopped,L2,9
1:35:55,Passenger Arrival,1,
1:36:15,Lift Stopped,L2,5
1:36:27,Passenger Arrival,4,
1:36:46,Enter Lift,L2,4
1:37:05,Passenger Arrival,1,
1:37:05,Button Pressed,2I4IG,
1:37:05,Enter Lift,L1,0
1:40:55,Passenger Arrival,1,
1:40:55,Button Pressed,7D7I9I,
1:40:55,Lift Departure,L3,7
1:41:15,Passenger Arrival,3,
1:41:34,Lift Stopped,L3,5
1:41:35,Passenger Arrival,2,
1:41:54,Enter Lift,L3,0
1:42:05,Passenger Arrival,3,
1:42:05,Button Pressed,3I5D2I,
1:42:05,Lift Departure,L2,5
1:42:13,Enter Lift,L2,0
1:44:18,Passenger Arrival,2,
1:44:18,Button Pressed,10I22D8D,
1:44:18,Lift Departure,L1,8
1:44:33,Lift Stopped,L1,7
1:44:55,Lift Stopped,L1,6
1:45:45,Enter Lift,L1,0
1:46:04,Passenger Arrival,6,
1:46:04,Button Pressed,G6I3I,
1:46:04,Lift Departure,L3,G
1:46:04,Enter Lift,L3,0
1:46:25,Passenger Arrival,2,
1:46:25,Button Pressed,5U6D7U,
1:46:25,Lift Departure,L2,6
1:46:33,Passenger Arrival,3,
1:46:34,Enter Lift,L2,0
1:48:19,Passenger Arrival,2,
1:48:19,Button Pressed,21I3U17U,
1:48:19,Lift Departure,L3,21
1:48:30,Passenger Arrival,1,
1:49:18,Passenger Arrival,2,
1:49:19,Enter Lift,L3,0
1:49:30,Passenger Arrival,1,
1:49:30,Button Pressed,3I10I3D,
1:49:30,Lift Departure,L1,3
1:49:46,Passenger Arrival,1,
1:49:46,Enter Lift,L1,0
1:51:28,Passenger Arrival,1,
1:51:28,Button Pressed,23I21D18I,
1:51:28,Lift Departure,L2,21
1:51:29,Lift Stopped,L2,23
1:51:55,Passenger Arrival,5,
1:52:20,Enter Lift,L2,0
1:54:23,Passenger Arrival,2,
1:54:23,Button Pressed,G3D13I20D,
1:54:34,Enter Lift,L3,0
1:55:11,Passenger Arrival,1,
1:55:11,Button Pressed,G6D13D,
1:55:15,Enter Lift,L3,1
1:55:28,Passenger Arrival,1,
1:55:28,Button Pressed,3I4D6I,
1:55:28,Lift Departure,L2,4
1:55:46,Passenger Arrival,2,
1:55:52,Lift Stopped,L2,1
1:56:09,Enter Lift,L2,0
1:56:25,Passenger Arrival,1,
1:56:25,Button Pressed,2D4I12D,
1:56:25,Lift Departure,L3,2
1:56:44,Passenger Arrival,1,
1:56:53,Lift Stopped,L3,1
1:57:01,Passenger Arrival,1,
1:57:05,Passenger Arrival,1,
1:57:10,Enter Lift,L3,0
1:57:25,Passenger Arrival,2,
1:57:25,Button Pressed,1U13U4D,
1:57:25,Lift Departure,L1,4
1:57:51,Enter Lift,L1,0
1:58:07,Passenger Arrival,1,
1:58:07,Button Pressed,8U16U6U,
1:58:12,Passenger Arrival,1,
1:58:34,Passenger Arrival,2,
1:59:02,Lift Departure,L3,14
1:59:28,Lift Stopped,L3,13
1:59:54,Lift Stopped,L3,10
2:00:10,Passenger Arrival,1,
2:00:17,Lift Stopped,L3,9
2:00:43,Passenger Arrival,1,
2:00:57,Enter Lift,L3,0
2:01:59,Passenger Arrival,1,
2:01:59,Button Pressed,11U7D15U,
2:01:59,Lift Departure,L2,7
2:02:15,Passenger Arrival,1,
2:02:24,Enter Lift,L2,0
2:03:00,Passenger Arrival,2,
2:03:00,Button Pressed,8D4U14D,
2:03:00,Lift Departure,L3,8
2:03:03,Passenger Arrival,1,
2:03:27,Enter Lift,L3,0
2:04:24,Passenger Arrival,1,
2:04:24,Button Pressed,16U23D16D,
2:04:24,Lift Departure,L1,16
2:04:54,Passenger Arrival,1,
2:05:04,Passenger Arrival,1,
2:05:15,Passenger Arrival,1,
2:05:28,Enter Lift,L1,0
